,name,yob
340,Jorge Zepeda,1990
341,Miguel Sandoval,1951
342,Harry Lennix,1964
343,Madison Mason,1990
344,Don Fischer,1990
345,Shelley Malil,1990
346,Jack Conley,1990
347,Todd Allen,1990
348,Rick Garcia,1990
349,Penny Griego,1990
350,John Verea,1990
351,Greg Collins,1990
352,Bruce Ramsay,1990
353,Michael Cavanaugh,1990
354,Nicholas Pryor,1990
355,Rodrigo Obregón,1990
356,Gerardo Albarrán,1990
357,J. Kenneth Campbell,1990
358,Flor Eduarda Gurrola,1990
359,Pedro Altamirano,1990
360,Salvador Sánchez,1990
361,Fernando Sarfatti,1990
362,Raúl Pozos,1990
363,Ehécatl Chávez,1990
364,Víctor Carpinteiro,1990
365,Natalia Traven,1990
366,Enrique Munoz,1990
367,Omar Ayala,1990
368,Pedro Damián,1990
369,Millie Slavin,1990
370,Jane Lynch,1960
371,Jossara Jinaro,1990
372,Clint Lilley,1990
373,Marianne Lewis,1990
374,Louis Bernstein,1990
375,Doralicia,1990
376,Jay Acovone,1990
377,Ronald Donahue,1990
378,Robert 'Bobby Z' Zajonc,1990
379,Daniel H. Friedman,1990
380,Joe Renteria,1990
381,Norm Compton,1990
382,Esteban Cueto,1990
383,Marcio Rosario,1990
384,Bill Hader,1978
385,Chuck Russell,1952
386,Chuck Russell,1952
387,Jim Carrey,1962
388,Peter Riegert,1947
389,Peter Greene,1965
390,Amy Yasbeck,1962
391,Richard Jeni,1990
392,Cameron Diaz,1972
393,Orestes Matacena,1990
394,Tim Bagley,1957
395,Nancy Fish,1990
396,Johnny Williams,1990
397,Reg E. Cathey,1990
398,Jim Doughan,1990
399,Denis Forest,1990
400,Joseph Alfieri,1990
401,B.J. Barie,1990
402,Catherine Berge,1990
403,Philip Boardman,1990
404,Krista Buonauro,1990
405,Debra Casey,1990
406,Blake Clark,1946
407,Christopher Darga,1990
408,Suzanne Dunn,1990
409,Joely Fisher,1967
410,Kevin Grevioux,1967
411,Peter Jazwinski,1990
412,Howard Kay,1990
413,Robert Keith,1898
414,Beau Lotterman,1990
415,Scott McElroy,1990
416,Richard Montes,1990
417,Ivory Ocean,1990
418,Robert O'Reilly,1990
419,Louis Ortiz,1990
420,Daniel James Peterson,1990
421,Jeremy Roberts,1990
422,Eamonn Roche,1990
423,Randi Ruimy,1990
424,Ben Stein,1990
425,Nils Allen Stewart,1961
426,Chris Taylor,1990
427,Bullet Valmont,1990
428,Wendy L. Walsh,1990
429,Meadow Williams,1966
430,Anne Fletcher,1990
431,Garret Sato,1990
432,Cameron Crowe,1957
433,Cameron Crowe,1957
434,Tom Cruise,1962
435,Penélope Cruz,1990
436,Cameron Diaz,1972
437,Kurt Russell,1951
438,Jason Lee,1970
439,Noah Taylor,1969
440,Michael Shannon,1974
441,Timothy Spall,1957
442,Tilda Swinton,1960
443,Delaina Mitchell,1990
444,Shalom Harlow,1973
445,Oona Hart,1990
446,Ivana Miličević,1990
447,Johnny Galecki,1975
448,Jhaemi Willens,1990
449,Armand Schultz,1990
450,Cameron Watson,1990
451,Robertson Dean,1990
452,W. Earl Brown,1990
453,Ray Proscia,1990
454,Tim Hopper,1990
455,Alicia Witt,1975
456,Ken Leung,1970
457,Carolyn Byrne,1990
458,Mark Pinter,1990
459,Jeff Weiss,1979
460,Conan O'Brien,1963
461,James Murtaugh,1942
